class,app,p,pf,qf,vf
1,2,0.06439,0.54862,0.83467,0.084035
1,2,0.064134,0.54531,0.83682,0.088043
1,2,0.065275,0.55001,0.83379,0.086012
1,2,0.065266,0.55687,0.82908,0.086729
1,2,0.066257,0.5655,0.82293,0.086899
1,2,0.066881,0.55994,0.82704,0.087261
1,2,0.066762,0.55868,0.828,0.087391
1,2,0.066361,0.55894,0.82779,0.087856
1,2,0.066171,0.55586,0.8298,0.087869
1,2,0.065376,0.56559,0.82319,0.08858
1,2,0.065345,0.56474,0.82363,0.091133
1,2,0.06483,0.56799,0.82147,0.087547
1,2,0.064892,0.55925,0.82761,0.085595
1,2,0.064246,0.55536,0.83029,0.084264
1,2,0.063967,0.55042,0.83348,0.084507
1,2,0.063429,0.55402,0.83092,0.090185
1,2,0.0632,0.55478,0.83028,0.093883
1,2,0.063018,0.5505,0.83325,0.093611
1,2,0.06261,0.5521,0.83217,0.090049
1,2,0.062105,0.54991,0.83372,0.089244
1,2,0.039461,0.59027,0.79671,0.14736
1,2,0.034681,0.57536,0.54102,0.42187
1,2,0.062563,0.54264,0.83856,0.084186
1,2,0.064611,0.55078,0.83333,0.084907
1,2,0.065496,0.55544,0.83014,0.085702
1,2,0.065497,0.55836,0.82805,0.085744
1,2,0.065849,0.55654,0.82942,0.085884
1,2,0.066124,0.55995,0.82716,0.085863
1,2,0.067359,0.57914,0.81332,0.086571
1,2,0.064502,0.56439,0.82353,0.08529
1,2,0.065993,0.5615,0.82615,0.085394
1,2,0.067307,0.57482,0.8165,0.08589
1,2,0.067621,0.57056,0.81964,0.085125
1,2,0.068225,0.57213,0.81859,0.085244
1,2,0.068105,0.57531,0.81629,0.086568
1,2,0.067575,0.57402,0.81727,0.088984
1,2,0.067109,0.57133,0.8192,0.088208
1,2,0.06693,0.57035,0.81982,0.08736
1,2,0.066809,0.57007,0.82,0.087944
1,2,0.06623,0.56588,0.82302,0.086819
1,2,0.065682,0.5628,0.82518,0.08716
1,2,0.065242,0.56019,0.82685,0.087784
1,2,0.064853,0.55943,0.82726,0.091835
1,2,0.065006,0.55791,0.82843,0.086828
1,2,0.064705,0.55494,0.83051,0.087058
1,2,0.064445,0.55406,0.83102,0.087022
1,2,0.063775,0.55089,0.83315,0.087291
1,2,0.063186,0.5475,0.83539,0.086652
1,2,0.063268,0.54833,0.83491,0.086257
1,2,0.063114,0.54649,0.83611,0.086224
1,2,0.062749,0.54461,0.83741,0.086643
1,2,0.034293,0.60173,0.78745,0.154
1,2,0.063151,0.56017,0.82669,0.088336
1,2,0.062445,0.54918,0.83439,0.085323
1,2,0.063618,0.5591,0.82762,0.088693
1,2,0.063963,0.56236,0.82552,0.086297
1,2,0.063783,0.56221,0.82563,0.084209
1,2,0.063197,0.56021,0.82705,0.082688
1,2,0.063102,0.56094,0.82652,0.084258
1,2,0.063398,0.55896,0.82792,0.08438
1,2,0.063197,0.55661,0.82949,0.082898
1,2,0.062714,0.55512,0.83052,0.082778
1,2,0.062122,0.55173,0.83272,0.08426
1,2,0.061743,0.55019,0.83372,0.084625
1,2,0.061384,0.5426,0.83867,0.088844
1,2,0.061596,0.54211,0.83886,0.08751
1,2,0.068625,0.56037,0.71341,0.22658
1,2,0.061618,0.53853,0.84116,0.089737
